"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"AMTrans: Auto-Correlation Multi-Head Attention Transformer for Infrared Spectral Deconvolution","L. Gao; L. Cui; S. Chen; L. Deng; X. Wang; X. Yan; H. Zhu","College of Electronic and Optical Engineering & College of Flexible Electronics (Future Technology), Nanjing University of Posts and Telecommunications, Nanjing, China; Jiangsu Province Key Lab on Image Processing and Image Communication, Nanjing University of Posts and Telecommunications, Nanjing, China; Jiangsu Province Key Lab on Image Processing and Image Communication, Nanjing University of Posts and Telecommunications, Nanjing, China; National Engineering Research Center of Communication and Network Technology, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Computer Science and Technology, Hainan University, Haikou, China; College of Electronic and Optical Engineering & College of Flexible Electronics (Future Technology), Nanjing University of Posts and Telecommunications, Nanjing, China; Jiangsu Province Key Lab on Image Processing and Image Communication, Nanjing University of Posts and Telecommunications, Nanjing, China",Tsinghua Science and Technology,"30 Dec 2024","2025","30","3","1329","1341","Infrared spectroscopy analysis has found widespread applications in various fields due to advancements in technology and industry convergence. To improve the quality and reliability of infrared spectroscopy signals, deconvolution is a crucial preprocessing step. Inspired by the transformer model, we propose an Auto-correlation Multi-head attention Transformer (AMTrans) for infrared spectrum sequence deconvolution. The auto-correlation attention model improves the scaled dot-product attention in the transformer. It utilizes attention mechanism for feature extraction and implements attention computation using the auto-correlation function. The auto-correlation attention model is used to exploit the inherent sequence nature of spectral data and to effectively recovery spectra by capturing auto-correlation patterns in the sequence. The proposed model is trained using supervised learning and demonstrates promising results in infrared spectroscopic restoration. By comparing the experiments with other deconvolution techniques, the experimental results show that the method has excellent deconvolution performance and can effectively recover the texture details of the infrared spectrum.","1007-0214","","10.26599/TST.2024.9010131","National Natural Science Foundation of China(grant numbers:62072256); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10817762","spectroscopy;spectral deconvolution;transformer;auto-correlation mechanism","Spectroscopy;Deconvolution;Computational modeling;Supervised learning;Noise reduction;Noise;Transformers;Data processing;Data models;Reliability","","","","27","","30 Dec 2024","","","TUP","TUP Journals"
"Machine Learning and Application in Terahertz Technology: A Review on Achievements and Future Challenges","Y. Jiang; G. Li; H. Ge; F. Wang; L. Li; X. Chen; M. Lu; Y. Zhang","Key Laboratory of Grain Information Processing and Control, Henan University of Technology, Ministry of Education, Zhengzhou, China; Key Laboratory of Grain Information Processing and Control, Henan University of Technology, Ministry of Education, Zhengzhou, China; Key Laboratory of Grain Information Processing and Control, Henan University of Technology, Ministry of Education, Zhengzhou, China; Key Laboratory of Grain Information Processing and Control, Henan University of Technology, Ministry of Education, Zhengzhou, China; Key Laboratory of Grain Information Processing and Control, Henan University of Technology, Ministry of Education, Zhengzhou, China; Key Laboratory of Grain Information Processing and Control, Henan University of Technology, Ministry of Education, Zhengzhou, China; Key Laboratory of Grain Information Processing and Control, Henan University of Technology, Ministry of Education, Zhengzhou, China; Key Laboratory of Grain Information Processing and Control, Henan University of Technology, Ministry of Education, Zhengzhou, China",IEEE Access,"24 May 2022","2022","10","","53761","53776","Terahertz (THz) radiation ( $0.1\sim 10$  THz) shows great potential in agricultural products detection, biomedical, and security inspection in recent years. Machine learning methods are widely used to support the user demand of higher efficiency and high prediction accuracy. The technological and key challenges of machine learning methods are for THz spectroscopy and image data preprocessing, reconstruction algorithms, and qualitative and quantitative analysis. In this paper, an exhaustive review of recent related works of THz detection and imaging techniques and machine learning methods are presented. The application of machine learning methods combined with THz technology in quality inspection of agricultural products, biomedical, security inspection, and materials science are highlighted. Challenges of machine learning methods for these applications are addressed. The development trend and future perspectives of THz technology are also discussed.","2169-3536","","10.1109/ACCESS.2022.3174595","National Natural Science Foundation of China(grant numbers:61975053,61705061); Natural Science Foundation of Henan Province(grant numbers:202300410111,222300420040); Open Fund Project of Key Laboratory of Grain Information Processing and Control, Ministry of Education, Henan University of Technology(grant numbers:KFJJ2020103); Cultivation Program for Young Backbone Teachers in the Henan University of Technology; Science & Technology Innovation Talents in Universities of Henan Province(grant numbers:22HASTIT017); Major public welfare projects of Henan Province(grant numbers:201300210100); Innovative Funds Plan of Henan University of Technology(grant numbers:2021ZKCJ04); Key Science and Technology Program of Henan Province of China(grant numbers:222102110246); Henan Province(grant numbers:211110110500); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9773114","Terahertz spectrum;terahertz imaging;machine learning;agricultural products;detection application","Imaging;Terahertz wave imaging;Laser beams;Machine learning;Ultrafast optics;Spectroscopy;Probes","","40","","130","CCBYNCND","12 May 2022","","","IEEE","IEEE Journals"
"Genetic Algorithm-Wavelet Transform Feature Extraction for Data-Driven Acoustic Resonance Spectroscopy","J. Greenhall; D. N. Sinha; C. Pantea","Los Alamos National Laboratory, Los Alamos, NM, USA; Los Alamos National Laboratory, Los Alamos, NM, USA; Los Alamos National Laboratory, Los Alamos, NM, USA","IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control","30 Jun 2023","2023","70","7","736","747","Acoustic resonance spectroscopy (ARS) enables highly accurate measurement of the properties (geometry/material) of a structure based on the structure’s natural vibrational resonances. In general, measuring a specific property in multibody structures presents a significant challenge due to the complex overlapping peaks within the resonance spectrum. We present a technique for extracting useful features from a complex spectrum by isolating resonance peaks that are sensitive to the measured property and insensitive to other properties (noise peaks). We isolate specific peaks by selecting frequency regions of interest and performing wavelet transformation, where the frequency regions and wavelet scales are tuned via a genetic algorithm. This contrasts greatly from the traditional wavelet transformation/decomposition techniques, which use a large number of wavelets at different scales to represent the signal, including the noise peaks, and results in a large feature size, thus decreasing machine learning (ML) generalizability. We provide a detailed description of the technique and demonstrate the feature extraction technique, for example, regression and classification problems. We observe reductions of 95% and 40% in regression and classification errors, respectively, when using the genetic algorithm/wavelet transform feature extraction, compared to using no feature extraction, or using wavelet decomposition, which is common in optical spectroscopy. The feature extraction has potential to significantly increase the accuracy of spectroscopy measurements based on a wide range of ML techniques. This would have significant implications for ARS, as well as other data-driven methods for other types of spectroscopy, e.g., optical.","1525-8955","","10.1109/TUFFC.2023.3278494","Laboratory Directed Research and Development program of Los Alamos National Laboratory(grant numbers:20220495MFR); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10130299","Acoustic resonance spectroscopy (ARS);data-driven spectroscopy;machine learning (ML);spectral feature extraction","Feature extraction;Acoustics;Spectroscopy;Frequency measurement;Acoustic measurements;Transducers;Frequency control","Wavelet Analysis;Algorithms;Spectrum Analysis;Machine Learning","1","","26","CCBY","22 May 2023","","","IEEE","IEEE Journals"
"Hyperspectral Identification of Milk Adulteration Using Advance Deep Learning","M. Aqeel; A. Sohaib; M. Iqbal; S. S. Ullah","Advance Image Processing Research Laboratory (AIPRL), Institute of Computer and Software Engineering, Khwaja Fareed University of Engineering and Information Technology, Rahim Yar Khan, Pakistan; Advance Image Processing Research Laboratory (AIPRL), Institute of Computer and Software Engineering, Khwaja Fareed University of Engineering and Information Technology, Rahim Yar Khan, Pakistan; Advance Image Processing Research Laboratory (AIPRL), Institute of Computer and Software Engineering, Khwaja Fareed University of Engineering and Information Technology, Rahim Yar Khan, Pakistan; Department of Information and Communication Technology, University of Agder (UiA), Grimstad, Norway",IEEE Access,"28 Nov 2024","2024","12","","174965","174982","Food adulteration poses significant health risks globally and is rigorously monitored by safety authorities. In developing nations, where milk is highly prone to contamination (with Brazil, India, China, and Pakistan producing half of the world’s milk), stringent detection and classification techniques are essential. This study employs both destructive and non-destructive methods for milk adulteration analysis. The destructive method uses Lactoscan for comprehensive qualitative measurements, including temperature, pH, conductivity, solids, protein, density, fat content, and SNF. The non-destructive method utilizes hyperspectral imaging (HSI) with the Specim Fx-10 (397–1003 nm) for image-based analysis, involving preprocessing steps like image scaling, ROI selection, radiometric correction, and spectral reflectance extraction using the empirical line method (ELM). Advanced deep learning models, including Convolutional Neural Networks (CNN), Artificial Neural Networks (ANN), Long Short-Term Memory networks (LSTM), and Gated Recurrent Units (GRU), are employed to predict and classify pure and adulterated milk spectra. CNNs showed superior performance in identifying adulteration trends. The proposed pipeline, validated with a 97% accuracy, outperforms state-of-the-art techniques based on metrics such as Kappa, accuracy, precision, recall, F1-score, MCC, and Jaccard Index.","2169-3536","","10.1109/ACCESS.2024.3504334","University of Agder (UiA), Grimstad, Norway; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10759634","Milk adulteration;hyperspectral imaging;deep learning;food quality control;spectral reflectance signature","Dairy products;Glucose;Fats;Temperature measurement;Solids;Proteins;Deep learning;Feature extraction;Accuracy;Testing","","","","38","CCBY","21 Nov 2024","","","IEEE","IEEE Journals"
"SiO2 Nanolayer Regulated Ag@Cu Core-Shell SERS Platform Integrated Machine Learning for Intelligent Identification of Jujuboside A, Saikosaponin A and Timosaponin A-III","W. Zhou; X. Han; Y. Wu; G. Shi; S. Xu; M. Wang; W. Yuan; J. Cui; Z. Li","Hebei International Research Center for Medical-Engineering, Chengde Medical University, Chengde, China; Department of Neurology, Affiliated Hospital of Chengde Medical University, Chengde, China; Hebei International Research Center for Medical-Engineering, Chengde Medical University, Chengde, China; Hebei International Research Center for Medical-Engineering, Chengde Medical University, Chengde, China; Hebei International Research Center for Medical-Engineering, Chengde Medical University, Chengde, China; State Key Laboratory of Metastable Materials Science and Technology, Key Laboratory for Microstructural Material Physics of Hebei Province, School of Science, Yanshan University, Qinhuangdao, China; Hebei International Research Center for Medical-Engineering, Chengde Medical University, Chengde, China; Hebei International Research Center for Medical-Engineering, Chengde Medical University, Chengde, China; Hebei International Research Center for Medical-Engineering, Chengde Medical University, Chengde, China",IEEE Photonics Journal,"13 Jun 2024","2024","16","4","1","9","An effective SERS-based detection method assisted by machine learning algorithm has been developed to intelligently identify the pharmacodynamic substances in traditional Chinese medicine (TCM) which aided in the quality control and identification of TCM. In this work, the ultrasensitive grating-like core-shell Ag@SiO2@Cu@moth wing (Ag@SiO2@Cu@MW) SERS platform was explored which can precisely control the intergap distances by adjusting the thickness of the SiO2 layer. This SERS platform demonstrated reproducibility and reliability, with a low relative standard deviation (RSD) of 7.38% and an enhancement factor (EF) of 2.49 × 107. The optimized Ag30@SiO2(4)@Cu20@MW substrate were then applied in the accurately analyzing pharmacodynamic substances. Specifically, the label-free SERS analysis showed the distinct spectral features for Jujuboside A, Saikosaponin A and Timosaponin A-III. Machine learning algorithms, such as principal component analysis (PCA), decision tree (DT), support vector machine (SVM), k-nearest neighbors (kNN) were employed and further in differentiating with the three pharmacodynamic substances Raman spectrum groups. These results indicate that SERS technology in combination with machine learning algorithms can not only achieve rapid and accurate detection of different types of pharmacodynamic substances, but also promote the modernization and international application of TCM.","1943-0655","","10.1109/JPHOT.2024.3410697","Natural Science Foundation of Hebei Province(grant numbers:F2022406001); Graduate Student Innovation Ability Training of Education of Hebei Province Department(grant numbers:CXZZSS2024119); Chengde Biomedicine Industry Research Institute Funding(grant numbers:202205B086); Technology and Starting Fund for Scientific Research of High-level Talents of Chengde Medical University-Nature(grant numbers:202206); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10551449","Grating-like core-shell structure;machine learning;pharmacodynamic substances in traditional Chinese medicine;SERS","Pharmacodynamics;Substrates;Gratings;Machine learning;Magnetic cores;Machine learning algorithms;Electromagnetics","","","","49","CCBYNCND","6 Jun 2024","","","IEEE","IEEE Journals"
"Assessment of Brain Function After 240 Days Confinement Using Functional Near Infrared Spectroscopy","F. Al-Shargie; U. Tariq; S. Al-Ameri; A. Al-Hammadi; S. D. Vladimirovna; H. Al-Nashash","Rutgers University, New Brunswick, NJ, USA; American University of Sharjah, Sharjah, UAE; Mohammed Bin Rashid Space Center (MBRSC), Dubai, UAE; Mohammed Bin Rashid Space Center (MBRSC), Dubai, UAE; Institute for Bio-Medical Problems, Russian Academy of Sciences, Moscow, Russia; American University of Sharjah, Sharjah, UAE",IEEE Open Journal of Engineering in Medicine and Biology,"11 Nov 2024","2025","6","","54","60","Future space exploration missions will expose astronauts to various stressors, making the early detection of mental stress crucial for prolonged missions. Our study proposes using functional near infrared spectroscopy (fNIRS) combined with multiple machine learning models to assess the level of mental stress. Objective: The objective is to identify and quantify stress levels during 240 days confinement scenario. In this study, we utilize a diverse set of stress indicators including salivary alpha amylase (sAA) levels, reaction time (RT) to stimuli, accuracy of target detection, and power spectral density (PSD), in conjunction with functional connectivity networks (FCN). We estimate the PSD using Fast Fourier Transform (FFT) and the FCN using partial directed coherence. Results: Our findings reveal several intriguing insights. The sAA levels increased from the first 30 days in confinement to the culmination of the lengthy 240-day mission, suggesting a cumulative impact of stress. Conversely, RT and the accuracy of target detection exhibit significant fluctuations over the course of the mission. The power spectral density shows a significant increase with time-in-mission across all participants in most of the frontal area. The FCN shows a significant decrease in most of the right frontal areas. Five different machine learning classifiers are employed to differentiate between two levels of stress resulting in impressive classification accuracy rates: 96.44% with-nearest neighbor (KNN), 95.52% with linear discriminant analysis (LDA), 88.71% with Naïve Bayes (NB), 87.41 with decision trees (DT) and 96.48% with Support Vector Machine (SVM). In conclusion, this study demonstrates the effectiveness of combining functional near infrared spectroscopy (fNIRS) with multiple machine learning models to accurately assess and quantify mental stress levels during prolonged space missions, providing a promising approach for early stress detection in astronauts.","2644-1276","","10.1109/OJEMB.2024.3457240","Mohammed Bin Rashid Space Center(grant numbers:CO-21-0033); American University of Sharjah; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10670317","Mental stress;isolation;fNIRS;alpha amylase;brain connectivity;machine learning","Human factors;Accuracy;Functional near-infrared spectroscopy;Space missions;Machine learning;Engineering in medicine and biology;Support vector machines","","","","31","CCBYNCND","10 Sep 2024","","","IEEE","IEEE Journals"
"Rare Object Search From Low-S/N Stellar Spectra in SDSS","M. Wu; J. Pan; Z. Yi; P. Wei","School of Mechanical, Electrical and Information Engineering, Shandong University, Weihai, China; School of Mechanical, Electrical and Information Engineering, Shandong University, Weihai, China; School of Mechanical, Electrical and Information Engineering, Shandong University, Weihai, China; Key Laboratory of Optical Astronomy, National Astronomical Observatories, Chinese Academy of Sciences, Beijing, China",IEEE Access,"16 Apr 2020","2020","8","","66475","66488","Rare objects such as white dwarf+main sequence (WDMS) and cataclysmic variables (CVs) are very important for studying the evolution of the galaxy and the universe. The large amount of spectra obtained by the large sky surveys such as the Sloan Digital Sky Survey (SDSS) are rich sources of these rare objects. However, a considerable fraction of these spectra are low-S/N spectra. These low-S/N spectra contain similar useful information as the high-S/N spectra, and making better use of these spectra can significantly improve the chance of finding rare objects. Nevertheless, little research has been done on them. In this study we propose a novel method based on the combination of PCA (Principal Components Analysis) and CFSFDP (Clustering by Fast Search and Find of Density Peak) to search for rare objects from low-S/N spectra. The PCA first extracts principal components from high-S/N spectra to generate general feature spectra and reconstructs low-S/N stellar spectra with these general feature spectra. Then the CFSFDP calculates the Local Density ρ and the Distance δ of the reconstructed spectra, and select the outliers through the decision graph quickly and accurately. We first apply our method to spectra in SDSS stellar classification template library with adding white gaussian noise to search for rare objects (carbon stars, carbon white dwarfs, carbon_lines, white dwarfs and white dwarfs magnetic). Then we apply our method to observed spectra with different low-S/Ns from SDSS and compared with Lick-index+K-means and Support Vector Machines (SVM). The experimental results show that our method has a higher efficiency compared to other methods.","2169-3536","","10.1109/ACCESS.2020.2983745","National Natural Science Foundation of China(grant numbers:U1931209,11603012,11873037,11603014,11803016); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9049419","SDSS;stellar spectra;machine learning;rare object search","Principal component analysis;Search problems;Astronomy;Support vector machines;Wavelength division multiplexing;Feature extraction;Random forests","","3","","65","CCBY","27 Mar 2020","","","IEEE","IEEE Journals"
"1D Convolutional Neural Networks for Estimation of Compensatory Reserve from Blood Pressure Waveforms","R. W. Techentin; C. L. Felton; T. E. Schlotman; B. K. Gilbert; M. J. Joyner; T. B. Curry; V. A. Convertino; D. R. Holmes; C. R. Haider","Special Purpose Processor Development Group; Special Purpose Processor Development Group; US Army Institute of Surgical Research, San Antonio, TX; Special Purpose Processor Development Group; Department of Anesthesiology; Department of Anesthesiology; US Army Institute of Surgical Research, San Antonio, TX; Biomedical Analytics and Computational Engineering Laboratory, Mayo Clinic, Rochester, MN; Special Purpose Processor Development Group",2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"7 Oct 2019","2019","","","2169","2173","We propose a Deep Convolutional Neural Network (CNN) architecture for computing a Compensatory Reserve Metric (CRM) for trauma victims suffering from hypovolemia (decreased circulating blood volume). The CRM is a single health indicator value that ranges from 100% for healthy individuals, down to 0% at hemodynamic decompensation - when the body can no longer compensate for blood loss. The CNN is trained on 20 second blood pressure waveform segments obtained from a finger-cuff monitor of 194 subjects. The model accurately predicts CRM when tested on data from 22 additional human subjects obtained from Lower Body Negative Pressure (LBNP) emulation of hemorrhage, attaining a mean squared error (MSE) of 0.0238 over the full range of values, including those from subjects with both low and high tolerance to central hypovolemia.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8857116","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8857116","","Customer relationship management;Training;Biomedical monitoring;Blood pressure;Computer architecture;Blood;Convolutional neural networks","Blood Pressure;Blood Volume;Hemorrhage;Humans;Hypovolemia;Lower Body Negative Pressure;Neural Networks, Computer","10","","21","CCBY","7 Oct 2019","","","IEEE","IEEE Conferences"
"Antidepressant Treatment Response Prediction With Early Assessment of Functional Near-Infrared Spectroscopy and Micro-RNA","L. H. Lee; C. S. H. Ho; Y. L. Chan; G. W. N. Tay; C. -K. Lu; T. B. Tang","Centre for Intelligent Signal and Imaging Research (CISIR), Universiti Teknologi PETRONAS, Seri Iskandar, Perak, Malaysia; Department of Psychological Medicine, Yong Loo Lin School of Medicine, National University of Singapore, Queenstown, Singapore; Centre for Intelligent Signal and Imaging Research (CISIR), Universiti Teknologi PETRONAS, Seri Iskandar, Perak, Malaysia; Department of Psychological Medicine, Yong Loo Lin School of Medicine, National University of Singapore, Queenstown, Singapore; Department of Electrical and Electronic Engineering, National Taiwan Normal University, Taipei, Taiwan; Centre for Intelligent Signal and Imaging Research (CISIR), Universiti Teknologi PETRONAS, Seri Iskandar, Perak, Malaysia",IEEE Journal of Translational Engineering in Health and Medicine,"17 Jan 2025","2025","13","","9","22","While functional near-infrared spectroscopy (fNIRS) had previously been suggested for major depressive disorder (MDD) diagnosis, the clinical application to predict antidepressant treatment response (ATR) is still unclear. To address this, the aim of the current study is to investigate MDD ATR at three response levels using fNIRS and micro-ribonucleic acids (miRNAs). Our proposed algorithm includes a custom inter-subject variability reduction based on the principal component analysis (PCA). The principal components of extracted features are first identified for non-responders’ group. The first few components that sum up to 99% of explained variance are discarded to minimize inter-subject variability while the remaining projection vectors are applied on all response groups (24 non-responders, 15 partial-responders, 13 responders) to obtain their relative projections in feature space. The entire algorithm achieved a better performance through the radial basis function (RBF) support vector machine (SVM), with 82.70% accuracy, 78.44% sensitivity, 86.15% precision, and 91.02% specificity, respectively, when compared with conventional machine learning approaches that combine clinical, sociodemographic and genetic information as the predictor. The performance of the proposed custom algorithm suggests the prediction of ATR can be improved with multiple features sources, provided that the inter-subject variability is properly addressed, and can be an effective tool for clinical decision support system in MDD ATR prediction. Clinical and Translational Impact Statement—The fusion of neuroimaging fNIRS features and miRNA profiles significantly enhances the prediction accuracy of MDD ATR. The minimally required features also make the personalized medicine more practical and realizable","2168-2372","","10.1109/JTEHM.2024.3506556","Yayasan Universiti Teknologi PETRONAS(grant numbers:015LC0-395); National University Health System Singapore Seed Fund(grant numbers:NR19MRF015); Ministry of Higher Education, Malaysia, through the Higher Institution Centre of Excellence (HICoE) Scheme awarded to the Centre for Intelligent Signal and Imaging Research (CISIR), Universiti Teknologi PETRONAS; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10767732","Treatment response prediction;functional near-infrared spectroscopy;machine learning;micro-ribonucleic acid.","Functional near-infrared spectroscopy;Electroencephalography;Predictive models;Functional magnetic resonance imaging;Accuracy;Principal component analysis;Neuroimaging;Feature extraction;Brain modeling;Antidepressants","Humans;Spectroscopy, Near-Infrared;Depressive Disorder, Major;Female;Male;Adult;Antidepressive Agents;Support Vector Machine;MicroRNAs;Middle Aged;Algorithms;Principal Component Analysis;Treatment Outcome;Young Adult","","","61","CCBY","26 Nov 2024","","","IEEE","IEEE Journals"
"Qualitative and Quantitative Identification of Components in Mixture by Terahertz Spectroscopy","Y. Peng; C. Shi; M. Xu; T. Kou; X. Wu; B. Song; H. Ma; S. Guo; L. Liu; Y. Zhu","Shanghai Key Lab of Modern Optical System, University of Shanghai for Science and Technology, Shanghai, China; Shanghai Key Lab of Modern Optical System, University of Shanghai for Science and Technology, Shanghai, China; Shanghai Key Lab of Modern Optical System, University of Shanghai for Science and Technology, Shanghai, China; Shanghai Key Lab of Modern Optical System, University of Shanghai for Science and Technology, Shanghai, China; Shanghai Key Lab of Modern Optical System, University of Shanghai for Science and Technology, Shanghai, China; Department of Pancreatic Surgery, Changhai Hospital, Second Military Medical University, Shanghai, China; Department of Pancreatic Surgery, Changhai Hospital, Second Military Medical University, Shanghai, China; Department of Pancreatic Surgery, Changhai Hospital, Second Military Medical University, Shanghai, China; Shanghai Advanced Research Institute, Chinese Academy of Sciences, Shanghai, China; Shanghai Key Lab of Modern Optical System, University of Shanghai for Science and Technology, Shanghai, China",IEEE Transactions on Terahertz Science and Technology,"11 Dec 2018","2018","8","6","696","701","Typical methods for the analysis of mixture components include multiple linear regression, partial linear squares, and artificial neural network. However, these methods need large amount of samples and time to improve recognition accuracy. In this paper, based on the data obtained from terahertz spectroscopy, an identification method with less sample requirements and lower calculation time but higher accuracy is proposed. Based on the wavelet transform, baseline elimination, support vector regression, and loop iteration of samples, the specific substance in the mixture can be identified effectively. For example, seven substances that exist in brain glioma are chosen as the components of a mixture, where the key substances used for glioma diagnosis are set as the target substances and the spectra of mixtures with different mix proportions serve as training data. The average correlation coefficient of identification achieves 99.135% and the root-mean-square error is 0.40%. These results have profound implications for the eventual practical application of exact qualitative and quantitative identification of components in mixtures.","2156-3446","","10.1109/TTHZ.2018.2867816","National Program on Key Basic Research Project of China (973 Program)(grant numbers:2014CB339806); Major National Development Project of Scientific Instrument and Equipment(grant numbers:2017YFF0106300,2016YFF0100503); National Natural Science Foundation of China(grant numbers:61771314,61722111); Shanghai Pujiang Program(grant numbers:16PJD033); Shanghai Rising-Star Program(grant numbers:17QA1402500); Shuguang Program(grant numbers:17SG45); Shanghai Youth Talent Support Program and Young Yangtse River Scholar(grant numbers:Q2016212); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449964","Mixture identification;terahertz (THz) spectroscopy","Spectroscopy;Data models;Wavelet transforms;Absorption;Mathematical model;Correlation coefficient","","48","","29","OAPA","29 Aug 2018","","","IEEE","IEEE Journals"
"Deep Neural Network-Based Sorghum Adulteration Detection in Baijiu Brewing","S. Yang; Y. Lin; Y. Li; D. Xu; S. Zhang; L. Peng","Department of Automation, Tsinghua University, Beijing, China; Luzhou Laojiao Company Ltd., Luzhou, China; Luzhou Laojiao Company Ltd., Luzhou, China; Luzhou Laojiao Company Ltd., Luzhou, China; Luzhou Laojiao Company Ltd., Luzhou, China; Department of Automation, Tsinghua University, Beijing, China",IEEE Open Journal of Instrumentation and Measurement,"26 Jul 2022","2022","1","","1","8","In Baijiu brewing process, suppliers may adulterate glutinous sorghum with commercially inferior japonica sorghum, which can affect the yield and quality of the final Baijiu production. Currently, sorghum adulteration detection in Baijiu brewing process in China is carried out manually by sampling and observation, which strongly depends on the experiences of workers. In this paper, we proposed a method that uses sorghum images as input and combines image processing and deep neural networks to identify grain varieties and calculate the adulteration ratio. Two derivative networks of CNN, i.e., ResNet and SqueezeNet are used to implement the deep neural networks for sorghum grain identification and adulteration ratio calculation. The classification accuracy of the ResNet and SqueezeNet based models reached 93.34% and 87.98% on test set, respectively. The root mean squared error (RSME) for adulteration ratio estimation is 4.95% and 7.73%, respectively. The mean absolute error (MAE) is 4.20% and 6.29% accordingly. The proposed pipeline is capable of realizing rapid and non-destructive adulteration detection of raw materials in industrial production, thus conducing to the industrial digital transformation and efficiency improvement.","2768-7236","","10.1109/OJIM.2022.3190024","Tsinghua University–Luzhou Laojiao Joint Research Center for Intelligent Detection; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9826840","Adulteration detection;brewing process;deep learning;image processing;machine vision","Neural networks;Deep learning;Machine vision;Image color analysis;Image processing;Raw materials;Image segmentation","","","","27","CCBYNCND","12 Jul 2022","","","IEEE","IEEE Journals"
"A Benchmarking on Optofluidic Microplastic Pattern Recognition: A Systematic Comparison Between Statistical Detection Models and ML-Based Algorithms","D. Sasso; M. Merone; E. Nicolai; L. Vollero; A. Sabatini","Department of Engineering, Research Unit of Computer Systems and Bioinformatics, Università Campus Bio-Medico di Roma, Rome, Italy; Department of Engineering, Research Unit of Computer Systems and Bioinformatics, Università Campus Bio-Medico di Roma, Rome, Italy; Department of Experimental Medicine, University of Rome “Tor Vergata,”, Rome, Italy; Department of Engineering, Research Unit of Computer Systems and Bioinformatics, Università Campus Bio-Medico di Roma, Rome, Italy; Department of Engineering, Research Unit of Computer Systems and Bioinformatics, Università Campus Bio-Medico di Roma, Rome, Italy",IEEE Access,"8 Feb 2024","2024","12","","20091","20102","Microplastics, small particles of plastic found in the environment, have become an increasingly worrying topic in recent years. This paper compares a statistical detection model to classifiers from various supervised learning paradigms in order to detect microplastics. The objective of this paper is to present a benchmark for detecting microplastics using statistical and machine learning models. The main goal is to assess and compare their performance when the defined parameters deviate from the optimal solution of the respective model. Results are presented in terms of probability error, comparing the performance of the machine learning techniques to the statistical model. The study considers a range of signal-to-noise ratios and a priori event probabilities, focusing on the classifiers’ ability to handle amplitude variability and threshold variation. Results show that as the number of analyzed particles in the flow increases, the detection performance improves, with Support Vector Machine, Linear Discriminant Analysis and Naive Bayes standing out from the other methods.","2169-3536","","10.1109/ACCESS.2024.3362240","PON “Ricerca e Innovazione”(grant numbers:2014-2020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10419362","Microplastics;embedded system;detection algorithm","Plastics;Particle measurements;Biological system modeling;Atmospheric measurements;Water pollution;Symbols;Support vector machines;Detection algorithms","","","","19","CCBYNCND","5 Feb 2024","","","IEEE","IEEE Journals"
